"","Year","Month","Day","ID","Country","City","Venue"
"1","2019","Jun","10",1,"USA","Brooklyn","Brooklyn Steel"
"2","2019","Jun","9",2,"USA","Brooklyn","Brooklyn Steel"
"3","2019","May","26",3,"England","London","Victoria Park"
"4","2019","May","24",4,"Spain","Madrid","Auditorio Enrique Tierno Galván"
"5","2019","May","9",5,"USA","Seattle","The Moore Theatre"
"6","2019","May","8",6,"USA","Seattle","The Moore Theatre"
"7","2019","May","4",7,"USA","Long Beach","Harry Bridges Memorial Park"
"8","2019","May","3",8,"USA","Long Beach","Harry Bridges Memorial Park"
"9","2019","Apr","30",9,"USA","San Luis Obispo","Alex Madonna Expo Center"
"10","2019","Mar","11",10,"New Zealand","Auckland","Auckland Town Hall"
"11","2019","Mar","9",11,"Australia","Meredith","Meredith Supernatural Amphitheatre"
"12","2019","Mar","8",12,"Australia","Melbourne","Forum Theatre"
"13","2019","Mar","6",13,"Australia","Adelaide","Maths Lawns at RCC"
"14","2019","Mar","4",14,"Australia","Sydney","Enmore Theatre"
"15","2019","Mar","2",15,"Australia","Wollongong","MacCabe Park"
"16","2019","Feb","28",16,"Australia","Perth","Chevron Festival Gardens"
"17","2019","Feb","26",17,"Australia","Brisbane","The Tivoli"
"18","2019","Feb","15",18,"USA","Miami","Mana Wynwood Convention Center"
"19","2019","Feb","13",19,"USA","Birmingham","Iron City"
"20","2018","Nov","2",20,"Italy","Turin","Lingotto Fiere"
"21","2018","Oct","20",21,"Ireland","Dublin","Vicar Street"
"22","2018","Oct","19",22,"England","Manchester","Albert Hall"
"23","2018","Oct","18",23,"England","London","Troxy"
"24","2018","Oct","17",24,"England","London","Troxy"
"25","2018","Oct","15",25,"France","Paris","L'Olympia Bruno Coquatrix"
"26","2018","Oct","13",26,"Belgium","Brussels","Ancienne Belgique"
"27","2018","Oct","12",27,"Netherlands","Utrecht","TivoliVredenburg Ronda"
"28","2018","Oct","11",28,"Germany","Hamburg","Kampnagel"
"29","2018","Oct","9",29,"Denmark","Freetown Christiania","Den Grå Hal"
"30","2018","Oct","8",30,"Sweden","Stockholm","Münchenbryggeriet"
"31","2018","Oct","7",31,"Norway","Oslo","Rockefeller Music Hall"
"32","2018","Oct","5",32,"Sweden","Gothenburg","Trädgår'n"
"33","2018","Oct","4",33,"Sweden","Lund","Mejeriet"
"34","2018","Oct","2",34,"Germany","Berlin","Huxley's Neue Welt"
"35","2018","Oct","1",35,"Germany","Cologne","Gloria Theater"
"36","2018","Sep","30",36,"France","Feyzin","L’Épicerie Moderne"
"37","2018","Sep","28",37,"Spain","Barcelona","Razzmatazz"
"38","2018","Sep","27",38,"Spain","Madrid","La Riviera"
"39","2018","Sep","26",39,"Portugal","Oporto","Teatro Sá da Bandeira"
"40","2018","Sep","25",40,"Portugal","Lisbon","Coliseu dos Recreios"
"41","2018","Aug","25",41,"USA","Washington","The Anthem"
"42","2018","Aug","24",42,"USA","Boston","House of Blues"
"43","2018","Aug","23",43,"USA","Brooklyn","Kings Theatre"
"44","2018","Aug","22",44,"USA","New York","United Palace Theatre"
"45","2018","Aug","20",45,"Canada","Toronto","Sony Centre for the Performing Arts"
"46","2018","Aug","19",46,"USA","Royal Oak","Royal Oak Music Theatre"
"47","2018","Aug","18",47,"USA","Chicago","The Chicago Theatre"
"48","2018","Aug","17",48,"USA","St. Paul","Palace Theatre"
"49","2018","Aug","15",49,"USA","Denver","Ogden Theatre"
"50","2018","Aug","14",50,"USA","Salt Lake City","The Depot"
